                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    155,                  1.347,                 1.6344,                 1.5255,                0.65162,                0.53775,                 0.6064,                0.30972,                0.70508,                 0.7773,                0.79894,              0.0024265,              0.0024265,              0.0024265
                    156,                 1.3402,                   1.65,                 1.5248,                0.64403,                0.54158,                0.60537,                 0.3102,                  0.705,                0.77628,                0.79886,               0.002377,               0.002377,               0.002377
                    157,                 1.3543,                 1.6458,                 1.5286,                0.65245,                0.53915,                0.60754,                0.31077,                0.70521,                0.77545,                0.79895,              0.0023275,              0.0023275,              0.0023275
                    158,                 1.3438,                 1.6234,                 1.5161,                0.64504,                0.54158,                0.60752,                0.31084,                0.70537,                0.77469,                0.79909,               0.002278,               0.002278,               0.002278
                    159,                 1.3437,                 1.6219,                 1.5314,                0.64766,                0.54099,                0.60776,                0.31082,                0.70582,                0.77364,                 0.7998,              0.0022285,              0.0022285,              0.0022285
                    160,                 1.3415,                  1.609,                 1.5284,                0.64366,                0.54376,                  0.608,                0.31108,                0.70608,                 0.7724,                0.80014,               0.002179,               0.002179,               0.002179
                    161,                 1.3403,                 1.6282,                 1.5212,                0.64535,                0.54431,                 0.6091,                0.31125,                0.70636,                0.77144,                0.80051,              0.0021295,              0.0021295,              0.0021295
                    162,                 1.3341,                 1.5861,                 1.5113,                0.65233,                0.54298,                0.61029,                0.31212,                 0.7064,                0.77072,                0.80054,                0.00208,                0.00208,                0.00208
                    163,                 1.3354,                 1.6131,                 1.5075,                0.65337,                 0.5454,                 0.6109,                0.31234,                0.70622,                0.77003,                0.79993,              0.0020305,              0.0020305,              0.0020305
                    164,                 1.3377,                 1.6026,                 1.5186,                0.65989,                0.54237,                0.61181,                0.31295,                0.70629,                0.76879,                0.79997,               0.001981,               0.001981,               0.001981
                    165,                 1.3339,                 1.5826,                  1.515,                0.64998,                0.54978,                0.61235,                0.31314,                0.70616,                0.76787,                0.79995,              0.0019315,              0.0019315,              0.0019315
                    166,                 1.3271,                 1.5734,                 1.5078,                0.65028,                0.55088,                0.61276,                0.31351,                 0.7069,                0.76614,                0.80046,               0.001882,               0.001882,               0.001882
                    167,                 1.3191,                 1.5592,                 1.4955,                0.64916,                0.55063,                0.61291,                0.31355,                0.70726,                0.76552,                0.80068,              0.0018325,              0.0018325,              0.0018325
                    168,                 1.3172,                  1.564,                 1.5007,                0.65017,                0.54322,                0.61286,                0.31367,                0.70782,                0.76449,                0.80124,               0.001783,               0.001783,               0.001783
                    169,                 1.2973,                 1.5557,                 1.4851,                0.65099,                0.54814,                0.61399,                0.31355,                0.70827,                0.76407,                0.80191,              0.0017335,              0.0017335,              0.0017335
                    170,                 1.2953,                 1.5461,                 1.4831,                0.65109,                0.54919,                0.61439,                0.31407,                0.70907,                0.76323,                0.80268,               0.001684,               0.001684,               0.001684
                    171,                  1.303,                 1.5307,                 1.4886,                0.64422,                0.55197,                0.61416,                0.31471,                0.70956,                0.76243,                0.80293,              0.0016345,              0.0016345,              0.0016345
                    172,                 1.3158,                 1.5553,                 1.5048,                0.64355,                 0.5521,                 0.6143,                0.31501,                0.70977,                0.76205,                0.80294,               0.001585,               0.001585,               0.001585
                    173,                 1.3092,                 1.5386,                 1.4946,                0.64531,                0.55361,                 0.6152,                0.31571,                0.71025,                0.76143,                0.80352,              0.0015355,              0.0015355,              0.0015355
                    174,                 1.3048,                 1.5244,                 1.4916,                0.64868,                0.55197,                0.61567,                0.31547,                0.71068,                0.76093,                0.80396,               0.001486,               0.001486,               0.001486
                    175,                 1.3028,                 1.5193,                 1.4909,                0.64324,                0.55306,                0.61541,                0.31593,                0.71123,                0.76022,                0.80465,              0.0014365,              0.0014365,              0.0014365
                    176,                 1.2989,                 1.5052,                 1.4809,                0.64347,                0.55361,                0.61757,                 0.3163,                 0.7114,                 0.7601,                0.80468,               0.001387,               0.001387,               0.001387
                    177,                 1.2959,                 1.5066,                 1.4807,                0.64422,                 0.5558,                0.61941,                 0.3164,                0.71169,                0.75986,                0.80505,              0.0013375,              0.0013375,              0.0013375
                    178,                 1.2907,                 1.4956,                 1.4762,                0.67179,                0.54531,                0.62027,                0.31731,                 0.7122,                0.75908,                0.80553,               0.001288,               0.001288,               0.001288
                    179,                 1.2969,                 1.4862,                 1.4761,                0.66991,                0.54845,                0.61837,                0.31663,                 0.7124,                0.75838,                0.80576,              0.0012385,              0.0012385,              0.0012385
                    180,                 1.2779,                 1.4626,                  1.457,                0.66597,                0.54705,                0.61659,                0.31633,                0.71288,                0.75824,                0.80629,               0.001189,               0.001189,               0.001189
                    181,                 1.2742,                 1.4713,                 1.4583,                0.68016,                0.53501,                0.61747,                0.31674,                0.71342,                0.75747,                0.80682,              0.0011395,              0.0011395,              0.0011395
                    182,                 1.2887,                 1.4716,                 1.4672,                0.67798,                 0.5344,                0.61682,                0.31658,                0.71388,                0.75715,                0.80705,                0.00109,                0.00109,                0.00109
                    183,                  1.274,                 1.4567,                 1.4605,                0.67945,                 0.5357,                0.61955,                0.31737,                 0.7145,                0.75644,                0.80761,              0.0010405,              0.0010405,              0.0010405
                    184,                 1.2684,                 1.4654,                 1.4513,                0.64553,                0.55689,                0.62039,                0.31795,                0.71529,                0.75585,                0.80832,               0.000991,               0.000991,               0.000991
                    185,                 1.2656,                 1.4385,                 1.4556,                0.65607,                 0.5562,                0.62137,                0.31838,                0.71586,                0.75507,                0.80902,              0.0009415,              0.0009415,              0.0009415
                    186,                  1.265,                 1.4508,                 1.4523,                0.64898,                0.55932,                0.62139,                0.31906,                0.71636,                0.75377,                0.80946,               0.000892,               0.000892,               0.000892
                    187,                 1.2565,                 1.4461,                 1.4469,                0.66347,                0.55416,                0.62207,                0.31888,                0.71657,                0.75315,                0.80976,              0.0008425,              0.0008425,              0.0008425
                    188,                 1.2673,                 1.4319,                 1.4597,                 0.6536,                0.56346,                0.62249,                 0.3192,                0.71701,                0.75223,                0.81017,               0.000793,               0.000793,               0.000793
                    189,                 1.2319,                  1.383,                 1.4245,                0.65347,                0.56565,                 0.6235,                0.32002,                0.71763,                0.75142,                0.81062,              0.0007435,              0.0007435,              0.0007435
                    190,                 1.2642,                 1.4432,                 1.4477,                0.65868,                0.56479,                0.62406,                   0.32,                0.71809,                 0.7506,                0.81118,               0.000694,               0.000694,               0.000694
                    191,                 1.0096,                0.94445,                 1.2039,                0.65454,                0.56729,                0.62481,                0.31997,                0.71846,                0.74993,                0.81167,              0.0006445,              0.0006445,              0.0006445
                    192,                0.99578,                0.90465,                 1.1912,                0.65624,                0.57019,                0.62577,                0.31977,                0.71901,                0.74905,                0.81223,               0.000595,               0.000595,               0.000595
                    193,                0.99483,                0.90908,                 1.1933,                0.66259,                0.56674,                0.62776,                0.31992,                0.71958,                 0.7484,                0.81289,              0.0005455,              0.0005455,              0.0005455
                    194,                0.98652,                 0.8996,                 1.1943,                  0.672,                0.56152,                0.62836,                0.31985,                0.72034,                0.74729,                0.81375,               0.000496,               0.000496,               0.000496
                    195,                0.98825,                0.89005,                 1.1902,                0.67343,                0.56455,                0.63033,                0.32021,                0.72085,                0.74664,                0.81432,              0.0004465,              0.0004465,              0.0004465
                    196,                0.98723,                0.88555,                 1.1895,                0.67195,                0.56699,                 0.6294,                0.32003,                0.72163,                0.74625,                0.81495,               0.000397,               0.000397,               0.000397
                    197,                 0.9643,                0.84501,                 1.1714,                0.67061,                0.56346,                0.62937,                0.32031,                0.72182,                0.74646,                0.81537,              0.0003475,              0.0003475,              0.0003475
                    198,                0.97337,                0.85688,                 1.1809,                0.67338,                 0.5628,                0.62947,                0.32023,                0.72247,                0.74619,                0.81624,               0.000298,               0.000298,               0.000298
                    199,                 0.9622,                0.83625,                 1.1676,                 0.6728,                0.56346,                0.63021,                0.32058,                0.72326,                0.74603,                0.81728,              0.0002485,              0.0002485,              0.0002485
                    200,                0.95207,                0.83489,                 1.1617,                0.68261,                0.55963,                0.62973,                0.32051,                0.72404,                0.74616,                0.81822,               0.000199,               0.000199,               0.000199
